127.0.0.1 - - [26/Nov/2021:01:06:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:50 +0530] "GET /psc_web_app/CollectionOfficerAssets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:50 +0530] "GET /psc_web_app/CollectionOfficerAssets/img/team/logo_final.png HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:50 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:50 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?a97b3594ad416896e15824f6787370e0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:50 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/aos/aos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:50 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/php-email-form/validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:50 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:50 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/purecounter/purecounter.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:50 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:50 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:25:50 +0530] "GET /psc_web_app/CollectionOfficerAssets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:04 +0530] "GET /psc_web_app/collectionOfficerDashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:04 +0530] "GET /psc_web_app/userLogin.jsp HTTP/1.1" 200 2949
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:04 +0530] "GET /psc_web_app/LoginAssets/LoginCSS.css HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:04 +0530] "GET /psc_web_app/LoginAssets/LoginImages/PSC_Logo.png HTTP/1.1" 200 24558
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:04 +0530] "GET /psc_web_app/LoginAssets/LoginImages/paddy1.jpg HTTP/1.1" 200 131091
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:04 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:20 +0530] "POST /psc_web_app/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:20 +0530] "GET /psc_web_app/collectionOfficerDashboard.jsp HTTP/1.1" 200 10197
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:20 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:20 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 73226
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:20 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/aos/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:20 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13785
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:20 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 15562
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:20 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:20 +0530] "GET /psc_web_app/CollectionOfficerAssets/css/style.css HTTP/1.1" 200 47569
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:20 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:20 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/aos/aos.js HTTP/1.1" 200 14690
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:20 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/purecounter/purecounter.js HTTP/1.1" 200 4951
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:20 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 200 56222
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:20 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 200 35445
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:20 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 135574
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:20 +0530] "GET /psc_web_app/CollectionOfficerAssets/img/team/logo_final.png HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:20 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/php-email-form/validate.js HTTP/1.1" 200 2646
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:26:20 +0530] "GET /psc_web_app/CollectionOfficerAssets/js/main.js HTTP/1.1" 200 6498
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:30:19 +0530] "GET /psc_web_app/pricelist HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:30:28 +0530] "POST /psc_web_app/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:30:28 +0530] "GET /psc_web_app/collectionOfficerDashboard.jsp HTTP/1.1" 200 10197
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:30:28 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:30:28 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 73226
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:30:28 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/aos/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:30:28 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 15562
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:30:28 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:30:28 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13785
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:30:28 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:30:28 +0530] "GET /psc_web_app/CollectionOfficerAssets/css/style.css HTTP/1.1" 200 50106
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:30:28 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/aos/aos.js HTTP/1.1" 200 14690
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:30:28 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/php-email-form/validate.js HTTP/1.1" 200 2646
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:30:28 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 135574
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:30:28 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/purecounter/purecounter.js HTTP/1.1" 200 4951
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:30:28 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 200 35445
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:30:28 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 200 56222
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:30:28 +0530] "GET /psc_web_app/CollectionOfficerAssets/js/main.js HTTP/1.1" 200 6498
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:30:28 +0530] "GET /psc_web_app/CollectionOfficerAssets/img/team/logo_final.png HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:30:29 +0530] "GET /psc_web_app/CollectionOfficerAssets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?a97b3594ad416896e15824f6787370e0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Nov/2021:01:30:45 +0530] "GET /psc_web_app/profile.html HTTP/1.1" 404 682
